"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"1970"	"1970"	"15-19 years"	"15-19"	1053	1221440	86.2
	"1970"	"1970"	"20-24 years"	"20-24"	1404	974372	144.1
	"1970"	"1970"	"25-34 years"	"25-34"	3362	1455562	231.0
	"1970"	"1970"	"35-44 years"	"35-44"	6978	1309316	533.0
	"1970"	"1970"	"45-54 years"	"45-54"	11834	1133625	1043.9
	"1970"	"1970"	"55-64 years"	"55-64"	17244	868176	1986.2
	"1970"	"1970"	"65-74 years"	"65-74"	22466	581881	3860.9
	"1970"	"1970"	"75-84 years"	"75-84"	15385	229917	6691.5
	"1970"	"1970"	"85+ years"	"85+"	7643	71386	10706.6
	"1970"	"1970"	"Not Stated"	"NS"	92	Not Applicable	Not Applicable
"Total"	"1970"	"1970"			98107	11865980	826.8
	"1971"	"1971"	"< 1 year"	"1"	7596	272898	2783.5
	"1971"	"1971"	"1-4 years"	"1-4"	1133	969000	116.9
	"1971"	"1971"	"5-9 years"	"5-9"	614	1354000	45.3
	"1971"	"1971"	"10-14 years"	"10-14"	577	1432000	40.3
	"1971"	"1971"	"15-19 years"	"15-19"	1175	1276000	92.1
	"1971"	"1971"	"20-24 years"	"20-24"	1512	1060000	142.6
	"1971"	"1971"	"25-34 years"	"25-34"	3431	1504000	228.1
	"1971"	"1971"	"35-44 years"	"35-44"	6730	1308000	514.5
	"1971"	"1971"	"45-54 years"	"45-54"	11802	1166000	1012.2
	"1971"	"1971"	"55-64 years"	"55-64"	16848	888000	1897.3
	"1971"	"1971"	"65-74 years"	"65-74"	22416	593000	3780.1
	"1971"	"1971"	"75-84 years"	"75-84"	15835	259000	6113.9
	"1971"	"1971"	"85+ years"	"85+"	8028	67000	11982.1
	"1971"	"1971"	"Not Stated"	"NS"	79	Not Applicable	Not Applicable
"Total"	"1971"	"1971"			97776	12148898	804.8
	"1972"	"1972"	"< 1 year"	"1"	7028	256575	2739.2
	"1972"	"1972"	"1-4 years"	"1-4"	1102	985000	111.9
	"1972"	"1972"	"5-9 years"	"5-9"	592	1328000	44.6
	"1972"	"1972"	"10-14 years"	"10-14"	556	1442000	38.6
	"1972"	"1972"	"15-19 years"	"15-19"	1030	1328000	77.6
	"1972"	"1972"	"20-24 years"	"20-24"	1508	1099000	137.2
	"1972"	"1972"	"25-34 years"	"25-34"	3470	1575000	220.3
	"1972"	"1972"	"35-44 years"	"35-44"	6474	1314000	492.7
	"1972"	"1972"	"45-54 years"	"45-54"	11730	1185000	989.9
	"1972"	"1972"	"55-64 years"	"55-64"	17018	905000	1880.4
	"1972"	"1972"	"65-74 years"	"65-74"	23196	602000	3853.2
	"1972"	"1972"	"75-84 years"	"75-84"	16540	280000	5907.1
	"1972"	"1972"	"85+ years"	"85+"	8424	70000	12034.3
	"1972"	"1972"	"Not Stated"	"NS"	42	Not Applicable	Not Applicable
"Total"	"1972"	"1972"			98710	12369575	798.0
	"1973"	"1973"	"< 1 year"	"1"	6368	246775	2580.5
	"1973"	"1973"	"1-4 years"	"1-4"	1097	990000	110.8
	"1973"	"1973"	"5-9 years"	"5-9"	570	1300000	43.8
	"1973"	"1973"	"10-14 years"	"10-14"	518	1451000	35.7
	"1973"	"1973"	"15-19 years"	"15-19"	1084	1371000	79.1
	"1973"	"1973"	"20-24 years"	"20-24"	1544	1141000	135.3
	"1973"	"1973"	"25-34 years"	"25-34"	3365	1643000	204.8
	"1973"	"1973"	"35-44 years"	"35-44"	6274	1323000	474.2
	"1973"	"1973"	"45-54 years"	"45-54"	11926	1204000	990.5
	"1973"	"1973"	"55-64 years"	"55-64"	17143	916000	1871.5
	"1973"	"1973"	"65-74 years"	"65-74"	23924	621000	3852.5
	"1973"	"1973"	"75-84 years"	"75-84"	17405	296000	5880.1
	"1973"	"1973"	"85+ years"	"85+"	9184	73000	12580.8
	"1973"	"1973"	"Not Stated"	"NS"	61	Not Applicable	Not Applicable
"Total"	"1973"	"1973"			100463	12575775	798.9
	"1974"	"1974"	"< 1 year"	"1"	6012	243435	2469.7
	"1974"	"1974"	"1-4 years"	"1-4"	994	981000	101.3
	"1974"	"1974"	"5-9 years"	"5-9"	511	1278000	40.0
	"1974"	"1974"	"10-14 years"	"10-14"	487	1451000	33.6
	"1974"	"1974"	"15-19 years"	"15-19"	978	1411000	69.3
	"1974"	"1974"	"20-24 years"	"20-24"	1498	1185000	126.4
	"1974"	"1974"	"25-34 years"	"25-34"	3356	1724000	194.7
	"1974"	"1974"	"35-44 years"	"35-44"	5791	1333000	434.4
	"1974"	"1974"	"45-54 years"	"45-54"	11110	1214000	915.2
	"1974"	"1974"	"55-64 years"	"55-64"	16466	937000	1757.3
	"1974"	"1974"	"65-74 years"	"65-74"	23189	640000	3623.3
	"1974"	"1974"	"75-84 years"	"75-84"	17014	309000	5506.1
	"1974"	"1974"	"85+ years"	"85+"	9459	78000	12126.9
	"1974"	"1974"	"Not Stated"	"NS"	47	Not Applicable	Not Applicable
"Total"	"1974"	"1974"			96912	12784435	758.0
	"1975"	"1975"	"< 1 year"	"1"	6056	244882	2473.0
	"1975"	"1975"	"1-4 years"	"1-4"	930	959000	97.0
	"1975"	"1975"	"5-9 years"	"5-9"	473	1264000	37.4
	"1975"	"1975"	"10-14 years"	"10-14"	457	1448000	31.6
	"1975"	"1975"	"15-19 years"	"15-19"	931	1441000	64.6
	"1975"	"1975"	"20-24 years"	"20-24"	1395	1232000	113.2
	"1975"	"1975"	"25-34 years"	"25-34"	3031	1808000	167.6
	"1975"	"1975"	"35-44 years"	"35-44"	5221	1336000	390.8
	"1975"	"1975"	"45-54 years"	"45-54"	10291	1220000	843.5
	"1975"	"1975"	"55-64 years"	"55-64"	16081	961000	1673.4
	"1975"	"1975"	"65-74 years"	"65-74"	22119	662000	3341.2
	"1975"	"1975"	"75-84 years"	"75-84"	17671	328000	5387.5
	"1975"	"1975"	"85+ years"	"85+"	9463	84000	11265.5
	"1975"	"1975"	"Not Stated"	"NS"	43	Not Applicable	Not Applicable
"Total"	"1975"	"1975"			94162	12987882	725.0
	"1976"	"1976"	"< 1 year"	"1"	5887	245968	2393.4
	"1976"	"1976"	"1-4 years"	"1-4"	857	929000	92.2
	"1976"	"1976"	"5-9 years"	"5-9"	467	1272000	36.7
	"1976"	"1976"	"10-14 years"	"10-14"	412	1429000	28.8
	"1976"	"1976"	"15-19 years"	"15-19"	824	1468000	56.1
	"1976"	"1976"	"20-24 years"	"20-24"	1381	1273000	108.5
	"1976"	"1976"	"25-34 years"	"25-34"	3143	1896000	165.8
	"1976"	"1976"	"35-44 years"	"35-44"	4984	1360000	366.5
	"1976"	"1976"	"45-54 years"	"45-54"	10301	1228000	838.8
	"1976"	"1976"	"55-64 years"	"55-64"	15767	972000	1622.1
	"1976"	"1976"	"65-74 years"	"65-74"	21854	686000	3185.7
	"1976"	"1976"	"75-84 years"	"75-84"	19121	349000	5478.8
	"1976"	"1976"	"85+ years"	"85+"	10414	89000	11701.1
	"1976"	"1976"	"Not Stated"	"NS"	53	Not Applicable	Not Applicable
"Total"	"1976"	"1976"			95465	13196968	723.4
	"1977"	"1977"	"< 1 year"	"1"	5722	259836	2202.2
	"1977"	"1977"	"1-4 years"	"1-4"	834	913000	91.3
	"1977"	"1977"	"5-9 years"	"5-9"	450	1275000	35.3
	"1977"	"1977"	"10-14 years"	"10-14"	395	1400000	28.2
	"1977"	"1977"	"15-19 years"	"15-19"	897	1482000	60.5
	"1977"	"1977"	"20-24 years"	"20-24"	1329	1324000	100.4
	"1977"	"1977"	"25-34 years"	"25-34"	3054	1983000	154.0
	"1977"	"1977"	"35-44 years"	"35-44"	4960	1391000	356.6
	"1977"	"1977"	"45-54 years"	"45-54"	10076	1232000	817.9
	"1977"	"1977"	"55-64 years"	"55-64"	15971	995000	1605.1
	"1977"	"1977"	"65-74 years"	"65-74"	22199	714000	3109.1
	"1977"	"1977"	"75-84 years"	"75-84"	19477	354000	5502.0
	"1977"	"1977"	"85+ years"	"85+"	10752	94000	11438.3
	"1977"	"1977"	"Not Stated"	"NS"	66	Not Applicable	Not Applicable
"Total"	"1977"	"1977"			96182	13416836	716.9
	"1978"	"1978"	"< 1 year"	"1"	5648	262807	2149.1
	"1978"	"1978"	"1-4 years"	"1-4"	873	919000	95.0
	"1978"	"1978"	"5-9 years"	"5-9"	457	1273000	35.9
	"1978"	"1978"	"10-14 years"	"10-14"	400	1370000	29.2
	"1978"	"1978"	"15-19 years"	"15-19"	820	1497000	54.8
	"1978"	"1978"	"20-24 years"	"20-24"	1350	1368000	98.7
	"1978"	"1978"	"25-34 years"	"25-34"	3107	2072000	150.0
	"1978"	"1978"	"35-44 years"	"35-44"	4811	1424000	337.9
	"1978"	"1978"	"45-54 years"	"45-54"	9699	1242000	780.9
	"1978"	"1978"	"55-64 years"	"55-64"	15945	1019000	1564.8
	"1978"	"1978"	"65-74 years"	"65-74"	22144	743000	2980.3
	"1978"	"1978"	"75-84 years"	"75-84"	19926	358000	5565.9
	"1978"	"1978"	"85+ years"	"85+"	11431	99000	11546.5
	"1978"	"1978"	"Not Stated"	"NS"	66	Not Applicable	Not Applicable
"Total"	"1978"	"1978"			96677	13646807	708.4
"Total"					1072735	138236612	776.0
"---"
"Dataset: Compressed Mortality, 1968-1978"
"Query Parameters:"
"Gender: Female"
"Race: Black or African American"
"Group By: Year; Age Group"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/cmf.html for more information."
"---"
"Query Date: Jul 2, 2020 2:12:14 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Compressed Mortality File"
"1968-1978. CDC WONDER Online Database, compiled from Compressed Mortality File CMF 1968-1988, Series 20, No. 2A, 2000. Accessed"
"at http://wonder.cdc.gov/cmf-icd8.html on Jul 2, 2020 2:12:14 PM"
"---"
Caveats:
"1. About national population figures: population figures for 1968-69 and 1971-78 are intercensal estimates of the July 1"
"resident population; population figures for 1970 are April 1 modified census counts. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Population Information."
"2. The population figures used in the calculation of death rates for the age group 'under 1 year' are the number of live births"
"for the given time period. More information: http://wonder.cdc.gov/wonder/help/cmf.html#Age Group."
"3. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Not Stated."
